Table 1: The Index of Consumer Sentiment
Quarter	Year	Index	
4	2017	98.4	
3	2017	95.1	
2	2017	96.4	
1	2017	97.2	
4	2016	93.2	
3	2016	90.3	
2	2016	92.4	
1	2016	91.5	
4	2015	91.3	
3	2015	90.8	
2	2015	94.2	
1	2015	95.5	
4	2014	89.8	
3	2014	83	
2	2014	82.8	
1	2014	80.9	
4	2013	76.9	
3	2013	81.6	
2	2013	81.7	
1	2013	76.7	
4	2012	79.4	
3	2012	75	
2	2012	76.3	
1	2012	75.5	
4	2011	64.7	
3	2011	59.5	
2	2011	71.9	
1	2011	73.1	
4	2010	71.2	
3	2010	68.3	
2	2010	73.9	
1	2010	73.9	
4	2009	70.1	
3	2009	68.4	
2	2009	68.2	
1	2009	58.3	
4	2008	57.7	
3	2008	64.8	
2	2008	59.6	
1	2008	72.9	
4	2007	77.5	
3	2007	85.8	
2	2007	86.9	
1	2007	92.2	
4	2006	92.5	
3	2006	84	
2	2006	83.8	
1	2006	88.9	
4	2005	82.4	
3	2005	87.4	
2	2005	90.2	
1	2005	94.1	
4	2004	93.9	
3	2004	95.6	
2	2004	93.4	
1	2004	98.1	
4	2003	92	
3	2003	89.3	
2	2003	89.3	
1	2003	80	
4	2002	83.8	
3	2002	87.3	
2	2002	94.1	
1	2002	93.1	
4	2001	85.1	
3	2001	88.5	
2	2001	91	
1	2001	92.3	
4	2000	103.9	
3	2000	107.5	
2	2000	108.8	
1	2000	110.1	
4	1999	105.2	
3	1999	105.9	
2	1999	106.2	
1	1999	105.9	
4	1998	100.2	
3	1998	103.5	
2	1998	106.9	
1	1998	107.8	
4	1997	105	
3	1997	105.8	
2	1997	103	
1	1997	99	
4	1996	97.5	
3	1996	94.9	
2	1996	91.5	
1	1996	90.5	
4	1995	89.8	
3	1995	93.1	
2	1995	91.7	
1	1995	94.3	
4	1994	93.1	
3	1994	90.7	
2	1994	92.2	
1	1994	93	
4	1993	84.1	
3	1993	77.4	
2	1993	82.5	
1	1993	87.3	
4	1992	83.3	
3	1992	76.1	
2	1992	78.9	
1	1992	70.7	
4	1991	71.9	
3	1991	82.6	
2	1991	80.8	
1	1991	74.8	
4	1990	65.2	
3	1990	79.1	
2	1990	90.9	
1	1990	91.3	
4	1989	91.8	
3	1989	92.5	
2	1989	90.9	
1	1989	95.9	
4	1988	93	
3	1988	96	
2	1988	93.5	
1	1988	92.3	
4	1987	86.4	
3	1987	93.9	
2	1987	91.8	
1	1987	90.5	
4	1986	92	
3	1986	94.9	
2	1986	96.8	
1	1986	95.5	
4	1985	91	
3	1985	92.8	
2	1985	94.3	
1	1985	94.5	
4	1984	95	
3	1984	98.9	
2	1984	96.6	
1	1984	99.5	
4	1983	91.6	
3	1983	91.2	
2	1983	91.5	
1	1983	75	
4	1982	72.5	
3	1982	66.7	
2	1982	66.2	
1	1982	66.6	
4	1981	65.7	
3	1981	74.8	
2	1981	73.9	
1	1981	68.3	
4	1980	72	
3	1980	67.8	
2	1980	54.4	
1	1980	63.9	
4	1979	62.3	
3	1979	63.7	
2	1979	66.7	
1	1979	71.9	
4	1978	73.8	
3	1978	80	
2	1978	81.8	
1	1978	82.6	
4	1977	84.4	
3	1977	89	
2	1977	90.2	
1	1977	87.1	
4	1976	87	
3	1976	89.7	
2	1976	83.3	
1	1976	84.6	
4	1975	75.6	
3	1975	75.7	
2	1975	72.8	
1	1975	57.6	
4	1974	59.5	
3	1974	64.4	
2	1974	72.1	
1	1974	61.8	
4	1973	76.5	
3	1973	72	
2	1973	77	
1	1973	81.9	
4	1972	90.7	
3	1972	95.2	
2	1972	88.6	
1	1972	92.8	
4	1971	82	
3	1971	82.1	
2	1971	80.2	
1	1971	78.1	
4	1970	72.4	
3	1970	77.6	
2	1970	75.4	
1	1970	78.1	
4	1969	79.7	
3	1969	86.4	
2	1969	91.5	
1	1969	98.2	
4	1968	91.7	
3	1968	92.4	
2	1968	92.4	
1	1968	97.2	
4	1967	92.9	
3	1967	97	
2	1967	95.9	
1	1967	94.1	
4	1966	88.3	
3	1966	91.2	
2	1966	95.7	
1	1966	100	
4	1965	102.9	
3	1965	103.4	
2	1965	105.4	
1	1965	102	
4	1964	99.9	
3	1964	100.6	
2	1964	98.5	
1	1964	99.5	
4	1963	94.4	
3	1963	96.4	
2	1963	91.7	
1	1963	98.4	
4	1962	95	
3	1962	91.6	
2	1962	95.4	
1	1962	99.9	
4	1961	93	
3	1961	99.2	
2	1961	92.5	
1	1961	91.6	
4	1960	90.1	
3	1960	97.2	
2	1960	93.3	
1	1960	100	
