Table 32: Expected Change in Prices During the Next Year
Quarter,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard Deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
1,1978,1,11,7,10,13,17,12,7,20,2,7.6,56,7.5,3.4,5.8,9.6,6.3,
2,1978,2,9,6,10,11,20,14,8,18,2,8.2,65,8.1,3.6,6.7,9.9,6.3,
3,1978,2,10,5,8,11,17,18,11,16,2,9.1,78,8.9,4.6,7.2,10.3,5.7,
4,1978,1,9,4,7,11,20,19,8,19,2,8.7,58,7.6,4.8,7.4,10.1,5.3,
1,1979,1,7,4,7,9,20,22,13,16,1,10.3,86,9.3,5.1,8.7,10.9,5.7,
2,1979,1,7,3,6,10,14,26,19,12,2,11.7,101,10,5.4,9.8,13.3,7.9,
3,1979,2,10,3,5,9,13,27,18,11,2,11,89,9.4,5.2,9.8,13.2,8,
4,1979,3,10,3,5,8,13,27,16,13,2,11,90,9.5,5.3,9.8,13,7.7,
1,1980,2,8,3,4,9,11,29,23,9,2,12.4,109,10.4,6,10.2,14.9,8.9,
2,1980,6,20,2,4,8,9,20,19,10,2,10.2,115,10.7,4.6,9.7,14.6,10,
3,1980,4,15,4,6,10,11,23,13,12,2,9.3,81,9,4.6,9,11.9,7.3,
4,1980,4,16,3,6,9,11,23,16,10,2,10.3,110,10.5,4.7,9.5,12.8,8.1,
1,1981,4,18,3,8,9,11,24,10,11,2,8.5,65,8.1,3.7,8.6,10.9,7.2,
2,1981,5,23,3,7,9,11,21,12,7,2,8.6,87,9.3,3.1,7.3,10.5,7.5,
3,1981,4,25,4,7,11,13,17,12,6,1,8.1,87,9.3,2.7,6.7,10.3,7.6,
4,1981,5,24,4,7,12,13,18,10,5,2,7.9,81,9,2.8,6.6,10.2,7.4,
1,1982,7,29,5,9,12,12,13,9,3,1,5.5,74,8.6,0.1,4.3,8.9,8.8,
2,1982,9,24,6,9,15,10,13,8,4,2,5.2,68,8.2,0.1,4.5,8.3,8.2,
3,1982,5,21,7,10,16,14,13,8,4,2,5.8,63,7.9,0.4,4.8,8.7,8.3,
4,1982,9,23,5,10,15,10,13,9,4,2,5.3,73,8.5,0.2,4.5,8.1,7.9,
1,1983,8,30,9,12,15,7,8,6,3,2,4.1,60,7.8,0.1,2.7,5.4,5.3,
2,1983,5,26,9,13,17,10,10,5,4,1,4.5,53,7.3,0.2,3.3,6.4,6.2,
3,1983,3,24,13,15,15,8,10,6,4,2,4.8,50,7,0.4,3.3,6.1,5.7,
4,1983,4,20,12,14,16,9,11,6,6,2,5,48,6.9,0.5,3.6,6.8,6.2,
1,1984,2,22,13,19,16,8,10,5,4,1,4.9,51,7.2,0.6,3.3,5.5,4.9,
2,1984,2,18,14,16,17,11,11,6,4,1,5.3,46,6.8,1.2,4.1,6.8,5.7,
3,1984,3,21,16,17,17,7,8,5,4,2,4.4,40,6.4,0.6,3.1,5.3,4.7,
4,1984,4,19,13,16,18,8,9,7,4,2,5,51,7.1,0.7,3.4,6,5.3,
1,1985,3,22,15,20,15,6,9,5,4,1,4.4,42,6.5,0.5,3,5.3,4.8,
2,1985,3,18,15,20,18,7,9,6,2,2,4.8,49,7,1,3.3,5.4,4.4,
3,1985,3,23,19,19,14,7,7,4,3,1,4.1,40,6.3,0.5,2.8,5.1,4.6,
4,1985,3,20,13,21,16,6,10,6,4,1,4.7,44,6.7,0.7,3.3,5.4,4.7,
1,1986,8,22,15,20,15,5,6,4,4,1,3.6,45,6.7,0.3,2.7,4.9,4.7,
2,1986,7,22,16,20,14,6,6,4,4,1,3.5,34,5.9,0.3,2.7,5,4.7,
3,1986,5,19,16,23,15,6,6,4,5,1,3.7,32,5.7,0.5,2.9,5,4.4,
4,1986,4,17,18,23,17,6,7,3,4,1,3.7,28,5.3,0.9,3,5,4.2,
1,1987,3,17,18,22,17,6,7,4,5,1,3.8,25,5,0.9,3,5.1,4.1,
2,1987,3,14,18,24,17,8,7,3,5,1,4.2,29,5.4,1.4,3.3,5.2,3.8,
3,1987,2,14,20,24,16,7,7,3,5,2,4.3,35,5.9,1.4,3.1,5.2,3.7,
4,1987,4,14,18,22,18,7,7,4,5,1,4,29,5.4,1.2,3.2,5.2,4,
1,1988,4,16,18,23,17,6,6,5,4,1,4.2,37,6,1.1,3.1,5.1,4,
2,1988,2,12,19,24,18,7,7,5,5,1,4.9,46,6.8,1.7,3.4,5.3,3.6,
3,1988,1,7,16,24,20,10,9,6,6,1,5.5,44,6.7,2.5,4.3,6.2,3.7,
4,1988,2,8,17,25,19,8,10,5,5,1,5.2,44,6.7,2.2,3.8,5.5,3.3,
1,1989,2,9,18,23,19,9,8,6,5,1,5.2,46,6.8,2,3.8,5.5,3.5,
2,1989,2,7,17,22,21,10,10,5,5,1,5.2,38,6.1,2.2,4.3,5.9,3.7,
3,1989,2,10,19,23,22,7,7,4,5,1,4.7,39,6.3,1.8,3.6,5.3,3.5,
4,1989,2,9,19,23,20,9,7,4,6,1,4.6,32,5.7,1.8,3.5,5.3,3.5,
1,1990,2,10,15,24,21,9,8,5,5,1,5.1,47,6.8,2,4,5.4,3.4,
